Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.00188643436581484,7.91792044075344E-07,-0.0101107102609225,0,0,0,0.0547254839327602,3.01578866609305E-05,2.75922512249631E-11,5.77313895814659E-06,4.6585768516949E-05,-3.08656421612755E-11,1.82716186853849E-05,0,0,0,0,0,0,package://simple_hand_2/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://simple_hand_2/meshes/base_link.STL,,Part60^MH_Hand_FullAssem-1;Palm^MH_Hand_FullAssem-1;Copy of Part47^MH_Hand_FullAssem-7;Copy of Part47^MH_Hand_FullAssem-8;Copy of Part47^MH_Hand_FullAssem-1;Copy of Part47^MH_Hand_FullAssem-6;Copy of Part47^MH_Hand_FullAssem-4;Copy of Part47^MH_Hand_FullAssem-3,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
thumb_1,0.0048085282615066,0.0155683292090754,-9.38862231650911E-05,0,0,0,0.00714658380829061,3.26626039983406E-07,9.21851511766135E-08,7.28401970577256E-11,4.93450737768554E-07,1.16674127798381E-10,6.67805464749945E-07,0,0,0,0,0,0,package://simple_hand_2/meshes/thumb_1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://simple_hand_2/meshes/thumb_1.STL,,Copy of Part48^MH_Hand_FullAssem-6;Copy of Part48^MH_Hand_FullAssem-8;ThumbPart1^MH_Hand_FullAssem-1;Copy of Part47^MH_Hand_FullAssem-11,Origin_thumb_palm2,Axis_thumb_palm2,thumb_palm,continuous,-0.031,-0.0001,0,1.3963,1.5708,0,base_link,1,0,0,,,,,,,,,,,,
thumb_2,-0.0580525842144154,0.0245170365772043,0.00600212157284601,0,0,0,0.00309410697808253,9.86716393307872E-08,-6.58381417150374E-09,4.76941858010113E-11,8.17761446626134E-08,1.44734613015972E-11,1.17680540570393E-07,0,0,0,0,0,0,package://simple_hand_2/meshes/thumb_2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://simple_hand_2/meshes/thumb_2.STL,,Part55^MH_Hand_FullAssem-1;Copy of Part48^MH_Hand_FullAssem-11;Copy of Part47^MH_Hand_FullAssem-20,Origin_thumb_12,,thumb_12,continuous,0.00074168,-0.025588,-0.0138,-2.8356,0.43178,-1.5075,thumb_1,1,0,0,,,,,,,,,,,,
thumb_3,-0.0683569874934218,0.0647531465127786,0.00599440013402116,0,0,0,0.00324861748801509,1.31829885963988E-07,2.37227938008642E-08,1.16060719332412E-12,8.56030195353302E-08,9.31995554639708E-13,1.54481533062546E-07,0,0,0,0,0,0,package://simple_hand_2/meshes/thumb_3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://simple_hand_2/meshes/thumb_3.STL,,Part58^MH_Hand_FullAssem-1;Copy of Part48^MH_Hand_FullAssem-20,Origin_thumb_23,,thumb_23,continuous,0.010488,-0.0027249,0.0098784,0.031976,-0.17161,0.12773,thumb_2,1,0,0,,,,,,,,,,,,
index_1,0.000100909995287481,0.0101314105773068,-0.00308812397054953,0,0,0,0.00331457639559618,1.2323138903352E-07,-6.25963302176875E-22,5.10019588239712E-22,8.32166997991831E-08,-2.40399965955461E-20,1.40564829901929E-07,0,0,0,0,0,0,package://simple_hand_2/meshes/index_1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://simple_hand_2/meshes/index_1.STL,,Copy of Part48^MH_Hand_FullAssem-1;FingerJoint1^MH_Hand_FullAssem-1;Copy of Part47^MH_Hand_FullAssem-15,Origin_index_palm,Axis_middle_palm,index_palm,continuous,-0.0299,0.0029,0.043,1.5708,0,3.1416,base_link,-1,0,0,,,,,,,,,,,,
index_2,8.81239705526511E-05,0.0101314105773068,-0.00291187602944456,0,0,0,0.00331457639559618,1.2323138903352E-07,-6.31603140027893E-22,5.08654045052711E-22,8.32166997991831E-08,-2.3986539712562E-20,1.40564829901929E-07,0,0,0,0,0,0,package://simple_hand_2/meshes/index_2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://simple_hand_2/meshes/index_2.STL,,Copy of Part48^MH_Hand_FullAssem-12;FingerJoint1^MH_Hand_FullAssem-5;Copy of Part47^MH_Hand_FullAssem-16,Origin_index_12,,index_12,continuous,0.0002,0.03,0,0,0,0,index_1,1,0,0,,,,,,,,,,,,
index_3,-9.48443246826212E-05,0.0116226051015443,-0.00309484432468262,0,0,0,0.00352502395351663,1.85717997302154E-07,-1.99224311388662E-23,-3.7181621830391E-24,8.01006878176001E-08,-4.00691042258123E-23,1.97300854531169E-07,0,0,0,0,0,0,package://simple_hand_2/meshes/index_3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://simple_hand_2/meshes/index_3.STL,,Copy of Part48^MH_Hand_FullAssem-16;fingrTip^MH_Hand_FullAssem-1,Origin_index_23,,index_23,fixed,0,0.03,0,0,0,0,index_2,0,0,0,,,,,,,,,,,,
middle_1,-0.0075009099952875,8.81239705495927E-05,-0.0146314105773068,0,0,0,0.00331457639559618,1.2323138903352E-07,5.10801247889187E-22,-6.3746455157721E-22,1.40564829901929E-07,-2.41810386122092E-20,8.32166997991832E-08,0,0,0,0,0,0,package://simple_hand_2/meshes/middle_1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://simple_hand_2/meshes/middle_1.STL,,FingerJoint1^MH_Hand_FullAssem-2;Copy of Part48^MH_Hand_FullAssem-3;Copy of Part47^MH_Hand_FullAssem-14,Origin_middle_palm,Axis_middle_palm,middle_palm,continuous,-0.003,0.000100000000000004,0.0435,-3.14159265358979,0,0,base_link,1,0,0,,,,,,,,,,,,
middle_2,0.000100909995287477,-0.0491314105773069,-0.0330881239705554,0,0,0,0.00331457639559618,1.2323138903352E-07,6.09867234555869E-22,-5.09255366438186E-22,8.32166997991831E-08,-2.4011489069115E-20,1.40564829901928E-07,0,0,0,0,0,0,package://simple_hand_2/meshes/middle_2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://simple_hand_2/meshes/middle_2.STL,,Copy of Part48^MH_Hand_FullAssem-13;FingerJoint1^MH_Hand_FullAssem-6;Copy of Part47^MH_Hand_FullAssem-17,Origin_middle_12,,middle_12,continuous,-0.0076,0.033,0.0045,1.5708,0,3.1416,middle_1,1,0,0,,,,,,,,,,,,
middle_3,-9.48443246825987E-05,-0.110622605101544,-0.0330948443246824,0,0,0,0.00352502395351662,1.85717997302153E-07,5.55896476099517E-23,1.76231881583275E-23,8.01006878176E-08,5.01247558570527E-23,1.97300854531168E-07,0,0,0,0,0,0,package://simple_hand_2/meshes/middle_3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://simple_hand_2/meshes/middle_3.STL,,Copy of Part48^MH_Hand_FullAssem-17;fingrTip^MH_Hand_FullAssem-2,Origin_middle_23,,middle_23,fixed,0.0002,0.03,0,0,0,0,middle_2,0,0,0,,,,,,,,,,,,
ring_pink_palm,0.0170207672540449,0.00634175647982317,-8.33728651589362E-05,0,0,0,0.00474638182867952,1.24617700851684E-07,8.08014945109771E-08,-3.25122701376156E-12,4.61877650491779E-07,1.81183357334928E-12,4.81107731413793E-07,0,0,0,0,0,0,package://simple_hand_2/meshes/ring_pink_palm.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://simple_hand_2/meshes/ring_pink_palm.STL,,Part50^MH_Hand_FullAssem-1;Copy of Part48^MH_Hand_FullAssem-4;Copy of Part48^MH_Hand_FullAssem-5;Copy of Part47^MH_Hand_FullAssem-10;Copy of Part47^MH_Hand_FullAssem-9,Origin_rp_palm,Axis_rp_palm,rp_palm,continuous,0.0032512,0.0001,0.018439,1.5708,0,0,base_link,0.98481,-0.17365,0,,,,,,,,,,,,
ring_1,8.73292782364032E-05,-0.0209311545992939,0.00308732927822884,0,0,0,0.00334473888459068,1.23940526073648E-07,1.16797902492488E-21,-1.0531057297454E-21,8.36234289464328E-08,-4.91864785874036E-20,1.41586346370184E-07,0,0,0,0,0,0,package://simple_hand_2/meshes/ring_1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://simple_hand_2/meshes/ring_1.STL,,Copy of Part47^MH_Hand_FullAssem-9;FingerJoint1^MH_Hand_FullAssem-3;Copy of Part47^MH_Hand_FullAssem-13,Origin_ring1_rp_palm,,ring1_rp_palm,continuous,0.011215,0.012454,-0.003,0,0,2.8798,ring_pink_palm,1,0,0,,,,,,,,,,,,
ring_2,0.00010090999528985,-0.0426886524241691,0.0169749492455598,0,0,0,0.00331457639559613,1.2323138903352E-07,-4.75356350150911E-22,-7.08881276752877E-22,8.8028771725466E-08,-1.58999148006687E-08,1.35752757975645E-07,0,0,0,0,0,0,package://simple_hand_2/meshes/ring_2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://simple_hand_2/meshes/ring_2.STL,,FingerJoint1^MH_Hand_FullAssem-7;Copy of Part48^MH_Hand_FullAssem-14;Copy of Part47^MH_Hand_FullAssem-18,Origin_ring_12,Axis_ring_12,ring_12,continuous,0,-0.01569,0.031714,2.8477,0,3.1416,ring_1,1,0,0,,,,,,,,,,,,
ring_3,0.00029484432468546,-0.102828463435009,0.00764877026309346,0,0,0,0.00352502395351663,1.85717997302152E-07,-7.91980234167709E-23,-4.33876445657651E-23,8.99349340430514E-08,-3.24940440435221E-08,1.87466608305716E-07,0,0,0,0,0,0,package://simple_hand_2/meshes/ring_3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://simple_hand_2/meshes/ring_3.STL,,fingrTip^MH_Hand_FullAssem-3;Copy of Part48^MH_Hand_FullAssem-18,Origin_ring_23,Axis_ring_23,ring_23,fixed,0,0.03,0.0002,0,0,0,ring_2,0,0,0,0,0,-1.5708,0,,,,,,,,
