Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.00188643436581484,7.91792044075349E-07,-0.0101107102609225,0,0,0,0.0547254839327602,3.01578866609305E-05,2.75922512250291E-11,5.77313895814659E-06,4.6585768516949E-05,-3.08656421612784E-11,1.82716186853849E-05,0,0,0,0,0,0,package://simple_hand_3/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://simple_hand_3/meshes/base_link.STL,,Part60^MH_Hand_FullAssem-1;Palm^MH_Hand_FullAssem-1;Copy of Part47^MH_Hand_FullAssem-7;Copy of Part47^MH_Hand_FullAssem-8;Copy of Part47^MH_Hand_FullAssem-1;Copy of Part47^MH_Hand_FullAssem-6;Copy of Part47^MH_Hand_FullAssem-4;Copy of Part47^MH_Hand_FullAssem-3,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
thumb_1,0.0048085282615066,0.0155683292090754,-9.38862231650911E-05,0,0,0,0.00714658380829061,3.26626039983406E-07,9.21851511766135E-08,7.28401970577256E-11,4.93450737768554E-07,1.16674127798342E-10,6.67805464749945E-07,0,0,0,0,0,0,package://simple_hand_3/meshes/thumb_1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://simple_hand_3/meshes/thumb_1.STL,,Copy of Part48^MH_Hand_FullAssem-6;Copy of Part48^MH_Hand_FullAssem-8;ThumbPart1^MH_Hand_FullAssem-1;Copy of Part47^MH_Hand_FullAssem-11,Origin_thumb_palm2,Axis_thumb_palm,thumb_palm,continuous,-0.031,-0.0001,0,1.3963,1.5708,0,base_link,1,0,0,,,,,,,,,,,,
thumb_2,-0.0580525842144156,0.0245170365772038,0.00600212157284599,0,0,0,0.00309410697808253,9.86716393307872E-08,-6.58381417150372E-09,4.7694185801008E-11,8.17761446626134E-08,1.44734613015873E-11,1.17680540570393E-07,0,0,0,0,0,0,package://simple_hand_3/meshes/thumb_2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://simple_hand_3/meshes/thumb_2.STL,,Part55^MH_Hand_FullAssem-1;Copy of Part48^MH_Hand_FullAssem-11;Copy of Part47^MH_Hand_FullAssem-20,Origin_thumb_123,Axis_thumb_12,thumb_12,fixed,0.00074168,-0.025588,-0.0138,-2.8356,0.43178,-1.5075,thumb_1,0,0,0,,,,,,,,,,,,
thumb_3,-0.068356987493422,0.0647531465127782,0.0059944001340212,0,0,0,0.00324861748801509,1.31829885963988E-07,2.37227938008644E-08,1.16060719329104E-12,8.56030195353304E-08,9.31995554705883E-13,1.54481533062547E-07,0,0,0,0,0,0,package://simple_hand_3/meshes/thumb_3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://simple_hand_3/meshes/thumb_3.STL,,Part58^MH_Hand_FullAssem-1;Copy of Part48^MH_Hand_FullAssem-20,Origin_thumb_233,Axis_thumb_23,thumb_23,continuous,0.010488,-0.0027249,0.0098784,0.031976,-0.17161,0.12773,thumb_2,0,0,0,,,,,,,,,,,,
index_1,0.000100909995287488,0.0101314105773068,-0.00308812397054953,0,0,0,0.00331457639559618,1.2323138903352E-07,-6.26012716365044E-22,5.10066028953523E-22,8.32166997991831E-08,-2.40400014712199E-20,1.40564829901929E-07,0,0,0,0,0,0,package://simple_hand_3/meshes/index_1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://simple_hand_3/meshes/index_1.STL,,Copy of Part48^MH_Hand_FullAssem-1;FingerJoint1^MH_Hand_FullAssem-1;Copy of Part47^MH_Hand_FullAssem-15,Origin_index_palm3,Axis_index_palm,index_palm,continuous,-0.0299,0.0029,0.043,1.5708,0,3.1416,base_link,0,0,0,,,,,,,,,,,,
index_2,8.81239705526511E-05,0.0101314105773068,-0.00291187602944456,0,0,0,0.00331457639559618,1.2323138903352E-07,-6.31511541580998E-22,5.08668394194715E-22,8.32166997991831E-08,-2.39865466102502E-20,1.40564829901929E-07,0,0,0,0,0,0,package://simple_hand_3/meshes/index_2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://simple_hand_3/meshes/index_2.STL,,Copy of Part48^MH_Hand_FullAssem-12;FingerJoint1^MH_Hand_FullAssem-5;Copy of Part47^MH_Hand_FullAssem-16,Origin_index_123,Axis_index_12,index_12,continuous,0.0002,0.03,0,0,0,0,index_1,0,0,0,,,,,,,,,,,,
index_3,-9.48443246826212E-05,0.0116226051015443,-0.00309484432468262,0,0,0,0.00352502395351663,1.85717997302154E-07,-2.15781770705621E-23,-3.31417911790443E-24,8.01006878176001E-08,-4.08880248846548E-23,1.97300854531169E-07,0,0,0,0,0,0,package://simple_hand_3/meshes/index_3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://simple_hand_3/meshes/index_3.STL,,Copy of Part48^MH_Hand_FullAssem-16;fingrTip^MH_Hand_FullAssem-1,Origin_index_233,Axis_index_23,index_23,fixed,0,0.03,0,0,0,0,index_2,0,0,0,,,,,,,,,,,,
middle_1,-0.0075009099952875,0.0146314105773068,8.81239705497929E-05,0,0,0,0.00331457639559618,1.2323138903352E-07,6.33478104037402E-22,5.09155288370479E-22,8.32166997991831E-08,2.39759641967047E-20,1.40564829901929E-07,0,0,0,0,0,0,package://simple_hand_3/meshes/middle_1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://simple_hand_3/meshes/middle_1.STL,,FingerJoint1^MH_Hand_FullAssem-2;Copy of Part48^MH_Hand_FullAssem-3;Copy of Part47^MH_Hand_FullAssem-14,Origin_middle_palm3,Axis_middle_palm,middle_palm,continuous,-0.003,0.0001,0.0435,1.5708,0,0,base_link,1,0,0,,,,,,,,,,,,
middle_2,0.000100909995287481,0.0101314105773068,-0.00291187602944456,0,0,0,0.00331457639559618,1.2323138903352E-07,-6.09886440477558E-22,5.09253540118803E-22,8.32166997991831E-08,-2.40189294374678E-20,1.40564829901928E-07,0,0,0,0,0,0,package://simple_hand_3/meshes/middle_2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://simple_hand_3/meshes/middle_2.STL,,Copy of Part48^MH_Hand_FullAssem-13;FingerJoint1^MH_Hand_FullAssem-6;Copy of Part47^MH_Hand_FullAssem-17,Origin_middle_123,Axis_middle_12,middle_12,continuous,-0.0076,0.0345,-0.003,3.1416,0,-3.1416,middle_1,0,0,0,,,,,,,,,,,,
middle_3,-9.48443246825952E-05,0.0116226051015443,-0.00290515567531735,0,0,0,0.00352502395351662,1.85717997302153E-07,-5.23422890572457E-23,-1.76233170731714E-23,8.01006878176E-08,3.22424816276047E-23,1.97300854531168E-07,0,0,0,0,0,0,package://simple_hand_3/meshes/middle_3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://simple_hand_3/meshes/middle_3.STL,,Copy of Part48^MH_Hand_FullAssem-17;fingrTip^MH_Hand_FullAssem-2,Origin_middle_233,Axis_middle_23,middle_23,fixed,0.0002,0.03,0,0,0,0,middle_2,0,0,0,,,,,,,,,,,,
ring_pink_palm,0.0170207672540466,0.00634175647982031,-8.33728651589396E-05,0,0,0,0.00474638182867952,1.24617700851684E-07,8.08014945109771E-08,-3.25122701369903E-12,4.61877650491778E-07,1.81183357330574E-12,4.81107731413793E-07,0,0,0,0,0,0,package://simple_hand_3/meshes/ring_pink_palm.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://simple_hand_3/meshes/ring_pink_palm.STL,,Part50^MH_Hand_FullAssem-1;Copy of Part48^MH_Hand_FullAssem-4;Copy of Part48^MH_Hand_FullAssem-5;Copy of Part47^MH_Hand_FullAssem-10;Copy of Part47^MH_Hand_FullAssem-9,Origin_rp_palm3,Axis_rp_palm,rp_palm,continuous,0.00325121332595538,0.000100000000000003,0.0184385470271891,1.5707963267949,0,0,base_link,0.984807753012207,-0.173648177666934,0,,,,,,,,,,,,
ring_1,8.73292782340735E-05,-0.020931154599294,0.00308732927822939,0,0,0,0.00334473888459068,1.23940526073648E-07,1.15639849634913E-21,-1.05381739622197E-21,8.36234289464328E-08,-4.9186521128773E-20,1.41586346370184E-07,0,0,0,0,0,0,package://simple_hand_3/meshes/ring_1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://simple_hand_3/meshes/ring_1.STL,,Copy of Part47^MH_Hand_FullAssem-9;FingerJoint1^MH_Hand_FullAssem-3;Copy of Part47^MH_Hand_FullAssem-13,Origin_ring1_rp_palm3,Axis_ring_rp,ring1_rp_palm,continuous,0.011215,0.012454,-0.003,0,0,2.8798,ring_pink_palm,0,0,0,,,,,,,,,,,,
ring_2,0.000100909995289843,0.0146314105773065,0.000100909995283516,0,0,0,0.00331457639559613,1.2323138903352E-07,5.92261318587968E-22,5.38310949868961E-22,8.3216699799183E-08,2.5017073346742E-20,1.40564829901928E-07,0,0,0,0,0,0,package://simple_hand_3/meshes/ring_2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://simple_hand_3/meshes/ring_2.STL,,FingerJoint1^MH_Hand_FullAssem-7;Copy of Part48^MH_Hand_FullAssem-14;Copy of Part47^MH_Hand_FullAssem-18,Origin_ring_123,Axis_ring_12,ring_12,continuous,0,-0.037,0.003,0,0,-3.1416,ring_1,1,0,0,,,,,,,,,,,,
